,rmse,mape,r2
ARIMA,1.5865349692594795,0.002513662775003197,0.0
Random Walk,4.655327963908402,0.09492040167588009,0.5946920302979924
Exponential Smoothing,2.316493500855511,0.060456854727927604,0.0
Prophet,2.0613859159775303,0.08521686640960646,0.0
