,rmse,mape,r2
ARIMA,1.3414313244298246,0.04775210194599948,0.0
Random Walk,4.417564546535879,0.0985581539691122,0.5961795910211887
Exponential Smoothing,2.2008789731811764,0.06572466729589994,0.0
Prophet,1.9770263182204697,0.07085546587895537,0.0
