,rmse,mape,r2
ARIMA,0.7443378651783159,0.055549911251192845,0.0
Random Walk,1.9845429956200449,0.05317854381248986,0.5484722549068533
Exponential Smoothing,1.5806487466282348,0.10891928670007849,0.0
Prophet,1.1292755542817319,0.08359094925648843,0.0
