,rmse,mape,r2
ARIMA,0.7182619137932683,0.04224352302469125,0.0
Random Walk,1.8847065986793883,0.0533414777210723,0.5649505345971269
Exponential Smoothing,1.5652647878496992,0.09605538693015477,0.0
Prophet,1.0908974924665784,0.08679154152229542,0.0
