,rmse,mape,r2
ARIMA,0.7680243702969262,0.04990328222169053,0.0
Random Walk,2.094759283621168,0.05260944314466114,0.54139156627999
Exponential Smoothing,1.6168853403621728,0.13056375248160254,0.0
Prophet,1.1703469545110001,0.0933231155572671,0.0
