,rmse,mape,r2
ARIMA,0.8866982317133565,0.03270440620553633,0.0
Random Walk,2.460855216727801,0.04484106248954292,-0.04682512530151617
Exponential Smoothing,1.3514398555030558,0.009320477046039733,0.0
Prophet,1.1181328079373218,0.008621253320369525,0.0
