,rmse,mape,r2
ARIMA,0.9775641712516436,0.08023894026954988,0.0
Random Walk,2.748600136813773,0.05447323649680297,0.5439850969099106
Exponential Smoothing,2.093774353607082,0.022649945213252757,0.0
Prophet,1.322896200989182,0.014389803448145694,0.0
